Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,order/hve
1,Unpolarized capacitor,C_Small,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25,0.1uF,C_1812_sideways,25,,y
2,Unpolarized capacitor,C_Small,C26,3.3nF,C_0603_HandSoldering,1,,y
3,,UFL-CONN,J1,UFL-CONN,U.FL-R-SMT,1,,y
4,Connector 01x01,CONN_01X01,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26,1,Pin_Header_Straight_1x01,26,,y
5,Resistor,R,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R14,1M,R_0603,13,,y
6,Resistor,R,R13,2M,R_0603,1,,y
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Component Groups:,6,,,,,,,
Component Count:,67,,,,,,,
Fitted Components:,67,,,,,,,
Number of PCBs:,1,,,,,,,
Total components:,67,,,,,,,
Schematic Version:,,,,,,,,
Schematic Date:,,,,,,,,
BoM Date:,2/6/2019 0:20,,,,,,,
Schematic Source:,C:/Users/User/Google Drive/IC Research/Clean HV Designs/HVPSU-Projects/RPSU-socket/RPSU-socket.sch,,,,,,,
KiCad Version:,Eeschema 4.0.2-stable,,,,,,,
